,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,250,0.5,1,0.9447004608294931,0.728110599078341,158,0.728110599078341,50,45,46,64,44,32,30,52,44,32,30,52,586.5381747157655,91.91666666666667,0
1,125,250,0.5,3,0.9447004608294931,0.728110599078341,161,0.7419354838709677,50,45,46,64,44,32,30,52,45,33,31,52,586.5381747157655,91.91666666666667,0
2,125,250,0.5,5,0.9447004608294931,0.728110599078341,163,0.7511520737327189,50,45,46,64,44,32,30,52,45,35,31,52,586.5381747157655,91.91666666666667,0
