,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,62.5,0.5,1,0.3778801843317972,0.018433179723502304,4,0.018433179723502304,23,16,25,18,0,0,2,2,0,0,2,2,52.72354946560023,12.28125,111200
1,125,62.5,0.5,3,0.3778801843317972,0.018433179723502304,11,0.05069124423963134,23,16,25,18,0,0,2,2,3,3,3,2,52.72354946560023,12.28125,111200
2,125,62.5,0.5,5,0.3778801843317972,0.018433179723502304,15,0.06912442396313365,23,16,25,18,0,0,2,2,3,6,3,3,52.72354946560023,12.28125,111200
