,num_LEFS,TAD_size
520,1,200
521,4,400
522,2,200
523,6,800
524,3,200
525,2,400
526,4,200
527,15,1200
528,2,200
529,4,400
530,2,200
531,4,800
532,0,200
533,4,400
534,2,200
535,6,1200
536,4,200
537,0,400
538,5,200
539,8,800
540,3,200
541,6,400
542,2,200
543,14,1200
544,3,200
545,3,400
546,2,200
547,6,800
548,5,200
549,8,400
550,1,200
551,8,1200
552,2,200
553,6,400
554,5,200
555,4,800
556,2,200
557,2,400
558,2,200
559,12,1200
560,1,200
561,5,400
562,3,200
563,8,800
564,4,200
565,1,400
566,1,200
567,7,1200
568,1,200
569,3,400
570,3,200
571,6,800
572,2,200
573,3,400
574,4,200
575,8,1200
576,2,200
577,2,400
578,1,200
579,5,800
580,1,200
581,8,400
582,2,200
583,3,1200
584,2,200
585,3,400
586,2,200
587,6,800
588,1,200
589,3,400
590,1,200
591,5,1200
592,3,200
593,4,400
594,2,200
595,6,800
596,2,200
597,2,400
598,0,200
599,7,1200
600,1,200
601,0,400
602,3,200
603,10,800
604,2,200
605,7,400
606,3,200
607,4,1200
608,2,200
609,7,400
610,2,200
611,4,800
612,1,200
613,5,400
614,2,200
615,8,1200
616,0,200
617,2,400
618,1,200
619,6,800
620,4,200
621,4,400
622,3,200
623,9,1200
624,3,200
625,5,400
626,0,200
627,6,800
628,0,200
629,3,400
630,1,200
631,9,1200
632,2,200
633,4,400
634,2,200
635,8,800
636,1,200
637,1,400
638,2,200
639,16,1200
640,1,200
641,6,400
642,2,200
643,6,800
644,2,200
645,3,400
646,2,200
647,10,1200
648,3,200
649,5,400
650,2,200
651,6,800
652,2,200
653,5,400
654,2,200
655,15,1200
656,3,200
657,3,400
658,4,200
659,5,800
660,3,200
661,5,400
662,2,200
663,5,1200
664,4,200
665,2,400
666,1,200
667,4,800
668,1,200
669,1,400
670,4,200
671,8,1200
672,1,200
673,7,400
674,2,200
675,6,800
676,3,200
677,3,400
678,4,200
679,10,1200
680,3,200
681,3,400
682,2,200
683,7,800
684,1,200
685,7,400
686,0,200
687,11,1200
688,0,200
689,2,400
690,1,200
691,7,800
692,1,200
693,4,400
694,2,200
695,11,1200
696,1,200
697,3,400
698,2,200
699,6,800
700,4,200
701,6,400
702,1,200
703,9,1200
704,0,200
705,5,400
706,2,200
707,8,800
708,1,200
709,7,400
710,3,200
711,7,1200
712,1,200
713,4,400
714,2,200
715,3,800
716,3,200
717,0,400
718,0,200
719,12,1200
720,3,200
721,3,400
722,1,200
723,6,800
724,1,200
725,3,400
726,3,200
727,8,1200
728,1,200
729,6,400
730,1,200
731,4,800
732,1,200
733,2,400
734,1,200
735,5,1200
736,1,200
737,2,400
738,2,200
739,5,800
740,1,200
741,3,400
742,3,200
743,10,1200
744,4,200
745,3,400
746,1,200
747,6,800
748,2,200
749,4,400
750,1,200
751,10,1200
752,2,200
753,6,400
754,1,200
755,12,800
756,3,200
757,5,400
758,1,200
759,8,1200
760,2,200
761,4,400
762,3,200
763,8,800
764,4,200
765,5,400
766,3,200
767,15,1200
768,2,200
769,3,400
770,4,200
771,3,800
772,1,200
773,3,400
774,4,200
775,7,1200
776,3,200
777,3,400
778,2,200
779,5,800
780,1,200
781,3,400
782,1,200
783,15,1200
784,2,200
785,3,400
786,1,200
787,7,800
788,1,200
789,4,400
790,2,200
791,10,1200
792,3,200
793,3,400
794,2,200
795,9,800
796,1,200
797,0,400
798,4,200
799,12,1200
800,2,200
801,4,400
802,0,200
803,5,800
804,1,200
805,1,400
806,3,200
807,11,1200
808,2,200
809,3,400
810,1,200
811,4,800
812,1,200
813,3,400
814,3,200
815,11,1200
816,2,200
817,3,400
818,4,200
819,5,800
820,1,200
821,5,400
822,2,200
823,14,1200
824,3,200
825,8,400
826,1,200
827,8,800
828,5,200
829,5,400
830,2,200
831,11,1200
832,2,200
833,6,400
834,1,200
835,5,800
836,4,200
837,2,400
838,1,200
839,16,1200
840,1,200
841,4,400
842,1,200
843,6,800
844,0,200
845,2,400
846,4,200
847,9,1200
848,1,200
849,3,400
850,0,200
851,6,800
852,2,200
853,4,400
854,4,200
855,8,1200
856,2,200
857,4,400
858,4,200
859,6,800
860,2,200
861,4,400
862,0,200
863,7,1200
864,3,200
865,1,400
866,3,200
867,8,800
868,2,200
869,5,400
870,1,200
871,7,1200
872,1,200
873,4,400
874,2,200
875,7,800
876,2,200
877,2,400
878,0,200
879,14,1200
880,3,200
881,3,400
882,2,200
883,4,800
884,1,200
885,2,400
886,0,200
887,9,1200
888,4,200
889,2,400
890,1,200
891,6,800
892,1,200
893,2,400
894,0,200
895,16,1200
896,2,200
897,4,400
898,4,200
899,4,800
900,2,200
901,2,400
902,2,200
903,12,1200
904,3,200
905,4,400
906,2,200
907,2,800
908,0,200
909,4,400
910,2,200
911,5,1200
912,1,200
913,5,400
914,2,200
915,5,800
916,1,200
917,3,400
918,1,200
919,8,1200
920,2,200
921,2,400
922,2,200
923,5,800
924,3,200
925,5,400
926,0,200
927,5,1200
928,2,200
929,2,400
930,0,200
931,7,800
932,1,200
933,4,400
934,1,200
935,13,1200
936,3,200
937,3,400
938,1,200
939,5,800
940,2,200
941,4,400
942,0,200
943,9,1200
944,2,200
945,2,400
946,0,200
947,5,800
948,3,200
949,4,400
950,3,200
951,10,1200
952,4,200
953,8,400
954,3,200
955,9,800
956,2,200
957,2,400
958,1,200
959,9,1200
960,1,200
961,3,400
962,1,200
963,7,800
964,3,200
965,5,400
966,4,200
967,9,1200
968,5,200
969,5,400
970,1,200
971,4,800
972,1,200
973,7,400
974,1,200
975,10,1200
976,0,200
977,3,400
978,3,200
979,6,800
980,4,200
981,2,400
982,3,200
983,5,1200
984,2,200
985,8,400
986,2,200
987,12,800
988,4,200
989,3,400
990,3,200
991,8,1200
992,2,200
993,5,400
994,2,200
995,6,800
996,3,200
997,3,400
998,1,200
999,9,1200
1000,0,200
1001,5,400
1002,4,200
1003,7,800
1004,2,200
1005,5,400
1006,1,200
1007,12,1200
1008,2,200
1009,2,400
1010,0,200
1011,9,800
1012,2,200
1013,2,400
1014,1,200
1015,9,1200
1016,4,200
1017,2,400
1018,2,200
1019,5,800
1020,2,200
1021,3,400
1022,6,200
1023,9,1200
1024,1,200
1025,4,400
1026,2,200
1027,11,800
1028,3,200
1029,3,400
1030,1,200
1031,12,1200
1032,1,200
1033,2,400
1034,2,200
1035,6,800
1036,3,200
1037,2,400
1038,0,200
1039,8,1200
1040,1,200
1041,1,400
1042,2,200
1043,6,800
1044,1,200
1045,4,400
1046,4,200
1047,10,1200
1048,2,200
1049,4,400
1050,4,200
1051,12,800
1052,3,200
1053,3,400
1054,2,200
1055,11,1200
1056,2,200
1057,5,400
1058,1,200
1059,3,800
1060,2,200
1061,4,400
1062,0,200
1063,7,1200
1064,1,200
1065,1,400
1066,1,200
1067,3,800
1068,1,200
1069,6,400
1070,3,200
1071,9,1200
1072,2,200
1073,4,400
1074,0,200
1075,3,800
1076,3,200
1077,5,400
1078,3,200
1079,8,1200
1080,1,200
1081,3,400
1082,2,200
1083,7,800
1084,1,200
1085,7,400
1086,1,200
1087,7,1200
1088,4,200
1089,3,400
1090,1,200
1091,2,800
1092,0,200
1093,1,400
1094,1,200
1095,8,1200
1096,3,200
1097,3,400
1098,0,200
1099,6,800
1100,2,200
1101,6,400
1102,5,200
1103,12,1200
1104,1,200
1105,2,400
1106,1,200
1107,8,800
1108,1,200
1109,2,400
1110,3,200
1111,9,1200
1112,3,200
1113,3,400
1114,3,200
1115,10,800
1116,1,200
1117,4,400
1118,2,200
1119,4,1200
1120,2,200
1121,3,400
1122,4,200
1123,8,800
1124,2,200
1125,3,400
1126,3,200
1127,10,1200
1128,3,200
1129,5,400
1130,2,200
1131,10,800
1132,2,200
1133,4,400
1134,3,200
1135,10,1200
1136,3,200
1137,6,400
1138,1,200
1139,8,800
1140,1,200
1141,2,400
1142,1,200
1143,8,1200
1144,2,200
1145,3,400
1146,1,200
1147,5,800
1148,0,200
1149,5,400
1150,0,200
1151,6,1200
1152,1,200
1153,5,400
1154,3,200
1155,7,800
1156,0,200
1157,4,400
1158,3,200
1159,5,1200
1160,3,200
1161,5,400
1162,3,200
1163,6,800
1164,3,200
1165,4,400
1166,1,200
1167,12,1200
1168,3,200
1169,6,400
1170,3,200
1171,6,800
1172,0,200
1173,2,400
1174,3,200
1175,10,1200
1176,2,200
1177,2,400
1178,4,200
1179,11,800
1180,2,200
1181,4,400
1182,2,200
1183,15,1200
1184,1,200
1185,8,400
1186,7,200
1187,7,800
1188,0,200
1189,3,400
1190,3,200
1191,8,1200
1192,5,200
1193,3,400
1194,0,200
1195,4,800
1196,0,200
1197,5,400
1198,5,200
1199,6,1200
1200,3,200
1201,5,400
1202,2,200
1203,9,800
1204,1,200
1205,5,400
1206,1,200
1207,8,1200
1208,3,200
1209,6,400
1210,0,200
1211,9,800
1212,3,200
1213,4,400
1214,1,200
1215,18,1200
1216,4,200
1217,7,400
1218,3,200
1219,8,800
1220,1,200
1221,1,400
1222,3,200
1223,8,1200
1224,2,200
1225,4,400
1226,1,200
1227,3,800
1228,2,200
1229,2,400
1230,2,200
1231,13,1200
1232,3,200
1233,4,400
1234,3,200
1235,9,800
1236,1,200
1237,7,400
1238,1,200
1239,6,1200
1240,2,200
1241,5,400
1242,3,200
1243,4,800
1244,1,200
1245,4,400
1246,1,200
1247,10,1200
1248,2,200
1249,2,400
1250,2,200
1251,7,800
1252,3,200
1253,4,400
1254,2,200
1255,13,1200
1256,1,200
1257,4,400
1258,2,200
1259,9,800
1260,1,200
1261,3,400
1262,4,200
1263,8,1200
1264,1,200
1265,4,400
1266,1,200
1267,8,800
1268,1,200
1269,4,400
1270,2,200
1271,14,1200
1272,4,200
1273,6,400
1274,2,200
1275,7,800
1276,0,200
1277,4,400
1278,1,200
1279,18,1200
1280,5,200
1281,2,400
1282,2,200
1283,9,800
1284,4,200
1285,1,400
1286,0,200
1287,11,1200
1288,1,200
1289,4,400
1290,1,200
1291,7,800
1292,4,200
1293,6,400
1294,2,200
1295,12,1200
1296,3,200
1297,4,400
1298,2,200
1299,5,800
1300,0,200
1301,3,400
1302,0,200
1303,7,1200
1304,1,200
1305,0,400
1306,2,200
1307,7,800
1308,4,200
1309,4,400
1310,2,200
1311,4,1200
1312,1,200
1313,6,400
1314,4,200
1315,3,800
1316,3,200
1317,3,400
1318,3,200
1319,11,1200
1320,1,200
1321,3,400
1322,5,200
1323,9,800
1324,3,200
1325,4,400
1326,4,200
1327,11,1200
1328,2,200
1329,4,400
1330,2,200
1331,11,800
1332,2,200
1333,3,400
1334,0,200
1335,5,1200
1336,0,200
1337,5,400
1338,3,200
1339,6,800
1340,3,200
1341,2,400
1342,0,200
1343,5,1200
1344,2,200
1345,2,400
1346,3,200
1347,4,800
1348,3,200
1349,5,400
1350,2,200
1351,17,1200
1352,2,200
1353,6,400
1354,1,200
1355,9,800
1356,3,200
1357,4,400
1358,0,200
1359,7,1200
1360,1,200
1361,5,400
1362,5,200
1363,12,800
1364,2,200
1365,4,400
1366,1,200
1367,11,1200
1368,2,200
1369,3,400
1370,0,200
1371,5,800
1372,2,200
1373,0,400
1374,0,200
1375,9,1200
1376,1,200
1377,4,400
1378,2,200
1379,8,800
1380,3,200
1381,7,400
1382,2,200
1383,9,1200
1384,3,200
1385,3,400
1386,2,200
1387,4,800
1388,0,200
1389,6,400
1390,5,200
1391,13,1200
1392,0,200
1393,3,400
1394,5,200
1395,6,800
1396,4,200
1397,6,400
1398,3,200
1399,18,1200
1400,2,200
1401,6,400
1402,1,200
1403,2,800
1404,1,200
1405,4,400
1406,2,200
1407,14,1200
1408,0,200
1409,5,400
1410,2,200
1411,3,800
1412,2,200
1413,1,400
1414,1,200
1415,7,1200
1416,1,200
1417,2,400
1418,1,200
1419,7,800
1420,3,200
1421,4,400
1422,1,200
1423,8,1200
1424,0,200
1425,1,400
1426,3,200
1427,8,800
1428,3,200
1429,3,400
1430,2,200
1431,16,1200
1432,1,200
1433,3,400
1434,2,200
1435,6,800
1436,4,200
1437,4,400
1438,4,200
1439,8,1200
1440,2,200
1441,3,400
1442,1,200
1443,4,800
1444,2,200
1445,2,400
1446,2,200
1447,7,1200
1448,1,200
1449,2,400
1450,2,200
1451,5,800
1452,2,200
1453,6,400
1454,0,200
1455,5,1200
1456,2,200
1457,5,400
1458,2,200
1459,7,800
1460,0,200
1461,3,400
