,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb proportion,initial restrained 400kb proportion,initial restrained 800kb proportion,initial restrained 1200kb proportion,realtime restrained 200kb proportion,realtime restrained 400kb proportion,realtime restrained 800kb proportion,realtime restrained 1200kb proportion,repaired 200kb proportion,repaired 400kb proportion,repaired 800kb proportion,repaired 1200kb proportion,average extruded length
0,62.5,62.5,0.5,1,0.543778801843318,0.0,0,0.0,0.5,0.5882352941176471,0.5714285714285714,0.5211267605633803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.151629686130306
1,62.5,62.5,0.5,3,0.543778801843318,0.0,1,0.004608294930875576,0.5,0.5882352941176471,0.5714285714285714,0.5211267605633803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,42.151629686130306
2,62.5,62.5,0.5,5,0.543778801843318,0.0,3,0.013824884792626729,0.5,0.5882352941176471,0.5714285714285714,0.5211267605633803,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.028169014084507043,42.151629686130306
