,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,62.5,0.5,1,0.391705069124424,0.04608294930875576,10,0.04608294930875576,27,21,13,24,5,3,0,2,5,3,0,2,60.1463655009204,38.0,287400
1,125,62.5,0.5,3,0.391705069124424,0.04608294930875576,13,0.059907834101382486,27,21,13,24,5,3,0,2,6,5,0,2,60.1463655009204,38.0,287400
2,125,62.5,0.5,5,0.391705069124424,0.04608294930875576,16,0.07373271889400922,27,21,13,24,5,3,0,2,7,5,1,3,60.1463655009204,38.0,287400
