,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,250,500,0.5,1,0.9585253456221198,0.7142857142857143,152,0.7004608294930875,50,43,47,68,24,33,41,57,24,31,41,56,498.2789139154335,90.72916666666667,0
1,250,500,0.5,3,0.9585253456221198,0.7142857142857143,152,0.7004608294930875,50,43,47,68,24,33,41,57,24,31,41,56,498.2789139154335,90.72916666666667,0
2,250,500,0.5,5,0.9585253456221198,0.7142857142857143,153,0.7050691244239631,50,43,47,68,24,33,41,57,25,31,41,56,498.2789139154335,90.72916666666667,0
