,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,250,125,0.5,1,0.7142857142857143,0.1889400921658986,40,0.18433179723502305,36,38,33,48,23,7,7,4,23,7,7,3,693.9728413530726,71.03125,0
1,250,125,0.5,3,0.7142857142857143,0.1889400921658986,41,0.1889400921658986,36,38,33,48,23,7,7,4,23,8,7,3,693.9728413530726,71.03125,0
2,250,125,0.5,5,0.7142857142857143,0.1889400921658986,42,0.1935483870967742,36,38,33,48,23,7,7,4,24,8,7,3,693.9728413530726,71.03125,0
