,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,125,0.5,1,0.7465437788018433,0.3824884792626728,83,0.3824884792626728,46,34,40,42,35,24,16,8,35,24,16,8,149.29414426235118,75.83333333333333,0
1,125,125,0.5,3,0.7465437788018433,0.3824884792626728,85,0.391705069124424,46,34,40,42,35,24,16,8,36,24,16,9,149.29414426235118,75.83333333333333,0
2,125,125,0.5,5,0.7465437788018433,0.3824884792626728,88,0.4055299539170507,46,34,40,42,35,24,16,8,36,25,16,11,149.29414426235118,75.83333333333333,0
