,num_LEFS,TAD_size
520,5,200
521,3,400
522,6,200
523,16,800
524,2,200
525,9,400
526,3,200
527,20,1200
528,2,200
529,5,400
530,2,200
531,18,800
532,5,200
533,8,400
534,4,200
535,19,1200
536,5,200
537,3,400
538,3,200
539,12,800
540,5,200
541,8,400
542,4,200
543,14,1200
544,7,200
545,4,400
546,5,200
547,13,800
548,2,200
549,7,400
550,4,200
551,22,1200
552,3,200
553,7,400
554,1,200
555,14,800
556,0,200
557,8,400
558,6,200
559,21,1200
560,4,200
561,3,400
562,6,200
563,11,800
564,6,200
565,7,400
566,6,200
567,29,1200
568,5,200
569,4,400
570,1,200
571,14,800
572,5,200
573,7,400
574,3,200
575,21,1200
576,7,200
577,5,400
578,7,200
579,19,800
580,5,200
581,6,400
582,5,200
583,31,1200
584,2,200
585,3,400
586,3,200
587,16,800
588,6,200
589,6,400
590,5,200
591,19,1200
592,1,200
593,5,400
594,4,200
595,21,800
596,5,200
597,4,400
598,3,200
599,19,1200
600,1,200
601,2,400
602,2,200
603,19,800
604,4,200
605,8,400
606,5,200
607,17,1200
608,4,200
609,5,400
610,5,200
611,15,800
612,6,200
613,3,400
614,1,200
615,21,1200
616,9,200
617,10,400
618,3,200
619,14,800
620,2,200
621,7,400
622,2,200
623,15,1200
624,3,200
625,6,400
626,3,200
627,15,800
628,3,200
629,5,400
630,5,200
631,19,1200
632,5,200
633,3,400
634,4,200
635,11,800
636,5,200
637,3,400
638,2,200
639,24,1200
640,5,200
641,9,400
642,3,200
643,8,800
644,7,200
645,6,400
646,1,200
647,15,1200
648,2,200
649,7,400
650,2,200
651,16,800
652,2,200
653,4,400
654,1,200
655,22,1200
656,4,200
657,11,400
658,5,200
659,14,800
660,4,200
661,8,400
662,5,200
663,13,1200
664,6,200
665,10,400
666,2,200
667,8,800
668,2,200
669,10,400
670,3,200
671,17,1200
672,6,200
673,3,400
674,3,200
675,14,800
676,5,200
677,6,400
678,3,200
679,18,1200
680,5,200
681,7,400
682,7,200
683,18,800
684,5,200
685,4,400
686,2,200
687,20,1200
688,3,200
689,5,400
690,5,200
691,12,800
692,1,200
693,6,400
694,3,200
695,11,1200
696,2,200
697,7,400
698,2,200
699,14,800
700,3,200
701,5,400
702,3,200
703,21,1200
704,4,200
705,10,400
706,1,200
707,9,800
708,3,200
709,5,400
710,5,200
711,20,1200
712,2,200
713,6,400
714,3,200
715,11,800
716,6,200
717,7,400
718,6,200
719,25,1200
720,4,200
721,8,400
722,2,200
723,12,800
724,3,200
725,8,400
726,6,200
727,15,1200
728,2,200
729,8,400
730,3,200
731,12,800
732,3,200
733,7,400
734,3,200
735,28,1200
736,5,200
737,6,400
738,6,200
739,9,800
740,2,200
741,10,400
742,2,200
743,19,1200
744,1,200
745,4,400
746,3,200
747,12,800
748,2,200
749,5,400
750,5,200
751,20,1200
752,2,200
753,6,400
754,1,200
755,12,800
756,5,200
757,2,400
758,3,200
759,23,1200
760,5,200
761,10,400
762,3,200
763,20,800
764,2,200
765,10,400
766,4,200
767,22,1200
768,5,200
769,5,400
770,3,200
771,10,800
772,3,200
773,6,400
774,7,200
775,27,1200
776,2,200
777,6,400
778,1,200
779,16,800
780,5,200
781,6,400
782,5,200
783,18,1200
784,5,200
785,9,400
786,5,200
787,16,800
788,1,200
789,10,400
790,1,200
791,20,1200
792,3,200
793,8,400
794,7,200
795,15,800
796,2,200
797,8,400
798,5,200
799,29,1200
800,5,200
801,8,400
802,1,200
803,12,800
804,6,200
805,7,400
806,5,200
807,25,1200
808,2,200
809,5,400
810,6,200
811,11,800
812,4,200
813,5,400
814,4,200
815,32,1200
816,8,200
817,3,400
818,3,200
819,16,800
820,7,200
821,2,400
822,5,200
823,15,1200
824,3,200
825,6,400
826,3,200
827,12,800
828,7,200
829,8,400
830,2,200
831,18,1200
832,2,200
833,8,400
834,2,200
835,7,800
836,5,200
837,7,400
838,4,200
839,18,1200
840,2,200
841,6,400
842,1,200
843,11,800
844,7,200
845,5,400
846,2,200
847,16,1200
848,5,200
849,10,400
850,4,200
851,15,800
852,5,200
853,2,400
854,2,200
855,22,1200
856,2,200
857,7,400
858,5,200
859,11,800
860,3,200
861,3,400
862,3,200
863,13,1200
864,2,200
865,7,400
866,2,200
867,7,800
868,7,200
869,7,400
870,2,200
871,21,1200
872,3,200
873,6,400
874,4,200
875,12,800
876,6,200
877,8,400
878,2,200
879,23,1200
880,2,200
881,5,400
882,6,200
883,15,800
884,1,200
885,3,400
886,4,200
887,18,1200
888,1,200
889,5,400
890,2,200
891,8,800
892,4,200
893,7,400
894,3,200
895,19,1200
896,3,200
897,5,400
898,4,200
899,9,800
900,4,200
901,4,400
902,3,200
903,21,1200
904,2,200
905,7,400
906,2,200
907,14,800
908,6,200
909,7,400
910,8,200
911,19,1200
912,2,200
913,6,400
914,2,200
915,13,800
916,5,200
917,4,400
918,1,200
919,18,1200
920,1,200
921,6,400
922,1,200
923,12,800
924,1,200
925,5,400
926,4,200
927,21,1200
928,2,200
929,7,400
930,2,200
931,19,800
932,3,200
933,6,400
934,1,200
935,23,1200
936,6,200
937,10,400
938,2,200
939,16,800
940,5,200
941,10,400
942,3,200
943,17,1200
944,2,200
945,6,400
946,3,200
947,5,800
948,6,200
949,8,400
950,1,200
951,17,1200
952,4,200
953,6,400
954,2,200
955,13,800
956,5,200
957,7,400
958,5,200
959,23,1200
960,2,200
961,7,400
962,7,200
963,8,800
964,4,200
965,10,400
966,6,200
967,15,1200
968,3,200
969,7,400
970,6,200
971,8,800
972,4,200
973,8,400
974,3,200
975,15,1200
976,2,200
977,5,400
978,4,200
979,17,800
980,1,200
981,4,400
982,3,200
983,15,1200
984,4,200
985,5,400
986,2,200
987,15,800
988,1,200
989,5,400
990,4,200
991,15,1200
992,2,200
993,8,400
994,1,200
995,12,800
996,7,200
997,5,400
998,3,200
999,22,1200
1000,6,200
1001,6,400
1002,0,200
1003,10,800
1004,2,200
1005,9,400
1006,3,200
1007,18,1200
1008,3,200
1009,14,400
1010,1,200
1011,11,800
1012,3,200
1013,5,400
1014,2,200
1015,23,1200
1016,4,200
1017,9,400
1018,5,200
1019,16,800
1020,2,200
1021,8,400
1022,6,200
1023,25,1200
1024,0,200
1025,5,400
1026,3,200
1027,10,800
1028,5,200
1029,7,400
1030,2,200
1031,18,1200
1032,4,200
1033,12,400
1034,2,200
1035,7,800
1036,4,200
1037,8,400
1038,4,200
1039,24,1200
1040,6,200
1041,7,400
1042,4,200
1043,12,800
1044,0,200
1045,4,400
1046,4,200
1047,17,1200
1048,3,200
1049,5,400
1050,1,200
1051,20,800
1052,5,200
1053,4,400
1054,2,200
1055,24,1200
1056,9,200
1057,14,400
1058,1,200
1059,10,800
1060,7,200
1061,2,400
1062,4,200
1063,13,1200
1064,8,200
1065,8,400
1066,7,200
1067,10,800
1068,4,200
1069,6,400
1070,5,200
1071,16,1200
1072,3,200
1073,6,400
1074,4,200
1075,11,800
1076,4,200
1077,10,400
1078,2,200
1079,16,1200
1080,1,200
1081,9,400
1082,9,200
1083,9,800
1084,3,200
1085,6,400
1086,2,200
1087,23,1200
1088,0,200
1089,10,400
1090,3,200
1091,7,800
1092,4,200
1093,5,400
1094,5,200
1095,16,1200
1096,4,200
1097,6,400
1098,4,200
1099,11,800
1100,1,200
1101,8,400
1102,3,200
1103,16,1200
1104,4,200
