,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,62.5,0.5,1,0.543778801843318,0.11059907834101383,24,0.11059907834101383,31,21,33,33,7,10,6,1,7,10,6,1,586.8132673440201,46.677083333333336,326000
1,125,62.5,0.5,3,0.543778801843318,0.11059907834101383,28,0.12903225806451613,31,21,33,33,7,10,6,1,8,11,7,2,586.8132673440201,46.677083333333336,326000
2,125,62.5,0.5,5,0.543778801843318,0.11059907834101383,32,0.14746543778801843,31,21,33,33,7,10,6,1,9,11,9,3,586.8132673440201,46.677083333333336,326000
