,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,125,0.5,1,0.5944700460829493,0.21658986175115208,47,0.21658986175115208,32,30,33,34,14,14,11,8,14,14,11,8,107.80002224878045,57.70833333333333,0
1,125,125,0.5,3,0.5944700460829493,0.21658986175115208,49,0.22580645161290322,32,30,33,34,14,14,11,8,15,15,11,8,107.80002224878045,57.70833333333333,0
2,125,125,0.5,5,0.5944700460829493,0.21658986175115208,50,0.2304147465437788,32,30,33,34,14,14,11,8,16,15,11,8,107.80002224878045,57.70833333333333,0
