,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,125,0.5,1,0.6866359447004609,0.20276497695852536,44,0.20276497695852536,38,39,33,39,21,15,5,3,21,15,5,3,102.71910411461683,57.447916666666664,0
1,125,125,0.5,3,0.6866359447004609,0.20276497695852536,45,0.2073732718894009,38,39,33,39,21,15,5,3,22,15,5,3,102.71910411461683,57.447916666666664,0
2,125,125,0.5,5,0.6866359447004609,0.20276497695852536,47,0.21658986175115208,38,39,33,39,21,15,5,3,22,16,6,3,102.71910411461683,57.447916666666664,0
