,separations,processivity,boundary_strength,TAD_size,threshold,first_passage_time,subTAD_LEFs_num,dist_to_neighbor_DSB,dist_to_CTCF
0,250,125,0.5,200,5,70,9,20568,42
1,250,125,0.5,200,3,74,9,20568,42
2,250,125,0.5,200,1,78,8,20568,42
3,250,125,0.5,1200,5,123,11,19694,703
4,250,125,0.5,200,5,124,10,19577,114
5,250,125,0.5,1200,3,125,11,19694,703
6,250,125,0.5,200,3,128,10,19577,114
7,250,125,0.5,1200,1,129,11,19694,703
8,250,125,0.5,200,1,132,10,19577,114
9,250,125,0.5,400,5,152,10,19662,291
10,250,125,0.5,400,3,156,10,19662,291
11,250,125,0.5,400,1,160,13,19662,291
12,250,125,0.5,200,5,166,9,19985,160
13,250,125,0.5,200,3,170,9,19985,160
14,250,125,0.5,200,1,174,9,19985,160
15,250,125,0.5,400,5,185,9,19988,55
16,250,125,0.5,400,3,189,9,19988,55
17,250,125,0.5,400,1,193,10,19988,55
18,250,125,0.5,200,5,262,9,19956,176
19,250,125,0.5,200,3,266,9,19956,176
20,250,125,0.5,200,1,270,9,19956,176
21,250,125,0.5,1200,5,290,10,19838,44
22,250,125,0.5,1200,3,291,10,19838,44
23,250,125,0.5,1200,1,292,10,19838,44
24,250,125,0.5,200,5,400,11,19735,105
25,250,125,0.5,200,3,401,11,19735,105
26,250,125,0.5,200,1,403,11,19735,105
27,250,125,0.5,400,5,423,11,19620,139
28,250,125,0.5,400,3,427,10,19620,139
29,250,125,0.5,400,5,431,10,20478,379
30,250,125,0.5,400,1,431,11,19620,139
31,250,125,0.5,400,3,433,11,20478,379
32,250,125,0.5,400,1,435,11,20478,379
33,250,125,0.5,1200,5,496,18,20084,728
34,250,125,0.5,1200,3,497,18,20084,728
35,250,125,0.5,1200,1,498,18,20084,728
36,250,125,0.5,800,5,731,13,20144,498
37,250,125,0.5,800,3,733,13,20144,498
38,250,125,0.5,800,1,735,13,20144,498
39,250,125,0.5,200,5,746,9,20215,135
40,250,125,0.5,200,3,750,8,20215,135
41,250,125,0.5,800,5,771,18,20090,384
42,250,125,0.5,800,3,773,19,20090,384
43,250,125,0.5,800,1,775,17,20090,384
44,250,125,0.5,800,5,806,17,19881,500
45,250,125,0.5,800,3,810,17,19881,500
46,250,125,0.5,800,1,814,16,19881,500
47,250,125,0.5,800,5,875,14,20400,747
48,250,125,0.5,800,3,879,14,20400,747
49,250,125,0.5,800,1,883,13,20400,747
50,250,125,0.5,1200,5,886,13,20972,853
51,250,125,0.5,1200,3,888,13,20972,853
52,250,125,0.5,1200,1,890,13,20972,853
53,250,125,0.5,800,5,1080,10,19962,248
54,250,125,0.5,800,3,1084,10,19962,248
55,250,125,0.5,800,1,1088,10,19962,248
56,250,125,0.5,1200,5,1190,17,20424,250
57,250,125,0.5,1200,3,1194,16,20424,250
58,250,125,0.5,1200,1,1198,16,20424,250
59,250,125,0.5,800,5,1201,15,20102,449
60,250,125,0.5,800,3,1203,15,20102,449
61,250,125,0.5,800,1,1207,16,20102,449
62,250,125,0.5,800,5,1723,8,20414,351
63,250,125,0.5,800,3,1727,8,20414,351
64,250,125,0.5,800,1,1731,8,20414,351
65,250,125,0.5,1200,5,1926,11,20189,909
66,250,125,0.5,1200,3,1930,11,20189,909
67,250,125,0.5,1200,1,1934,12,20189,909
68,250,125,0.5,1200,5,3025,22,20012,568
69,250,125,0.5,1200,3,3027,22,20012,568
70,250,125,0.5,1200,1,3029,22,20012,568
