,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,62.5,0.5,1,0.7096774193548387,0.2350230414746544,51,0.2350230414746544,34,47,33,40,24,21,3,3,24,21,3,3,116.89160582302691,74.83333333333333,429000
1,125,62.5,0.5,3,0.7096774193548387,0.2350230414746544,54,0.2488479262672811,34,47,33,40,24,21,3,3,24,22,4,4,116.89160582302691,74.83333333333333,429000
2,125,62.5,0.5,5,0.7096774193548387,0.2350230414746544,57,0.2626728110599078,34,47,33,40,24,21,3,3,24,22,6,5,116.89160582302691,74.83333333333333,429000
