,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,250,500,0.5,1,0.8617511520737328,0.6129032258064516,133,0.6129032258064516,40,48,42,57,32,35,29,37,32,35,29,37,727.3338618144326,66.79166666666667,0
1,250,500,0.5,3,0.8617511520737328,0.6129032258064516,133,0.6129032258064516,40,48,42,57,32,35,29,37,32,35,29,37,727.3338618144326,66.79166666666667,0
2,250,500,0.5,5,0.8617511520737328,0.6129032258064516,134,0.6175115207373272,40,48,42,57,32,35,29,37,32,35,29,38,727.3338618144326,66.79166666666667,0
