,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,250,500,0.5,1,0.815668202764977,0.5345622119815668,116,0.5345622119815668,36,41,43,57,25,28,25,38,25,28,25,38,638.5070691967404,68.5,0
1,250,500,0.5,3,0.815668202764977,0.5345622119815668,117,0.5391705069124424,36,41,43,57,25,28,25,38,25,28,26,38,638.5070691967404,68.5,0
2,250,500,0.5,5,0.815668202764977,0.5345622119815668,117,0.5391705069124424,36,41,43,57,25,28,25,38,25,28,26,38,638.5070691967404,68.5,0
