,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs,portion_LEF_stabilized_by_BE
0,62.6,125,1,1,0.7188940092165899,0.05069124423963134,11,0.05069124423963134,31,35,42,48,3,4,1,3,3,4,1,3,63.32558215575762,54.895833333333336,78.70833333333334,14.854978167201644
1,62.6,125,1,3,0.7188940092165899,0.05069124423963134,13,0.059907834101382486,31,35,42,48,3,4,1,3,3,4,1,5,63.32558215575762,54.895833333333336,78.70833333333334,14.854978167201644
2,62.6,125,1,5,0.7188940092165899,0.05069124423963134,14,0.06451612903225806,31,35,42,48,3,4,1,3,3,4,2,5,63.32558215575762,54.895833333333336,78.70833333333334,14.854978167201644
