,separations,processivity,boundary strength,threshold,restrained proportion time0,restrained proportion realtime,successful repair count,repaired proportion,initial restrained 200kb count,initial restrained 400kb count,initial restrained 800kb count,initial restrained 1200kb count,realtime restrained 200kb count,realtime restrained 400kb count,realtime restrained 800kb count,realtime restrained 1200kb count,repaired 200kb count,repaired 400kb count,repaired 800kb count,repaired 1200kb count,average extruded length,portion_BE_occupied_by_LEF,portion_TADs_with_stabilized_LEFs
0,125,250,0.5,1,0.9308755760368663,0.5299539170506913,115,0.5299539170506913,44,53,46,59,22,32,29,32,22,32,29,32,602.4651816467383,89.61458333333333,0
1,125,250,0.5,3,0.9308755760368663,0.5299539170506913,118,0.543778801843318,44,53,46,59,22,32,29,32,22,34,30,32,602.4651816467383,89.61458333333333,0
2,125,250,0.5,5,0.9308755760368663,0.5299539170506913,119,0.5483870967741935,44,53,46,59,22,32,29,32,23,34,30,32,602.4651816467383,89.61458333333333,0
