,num_LEFS,TAD_size
520,2,200
521,7,400
522,5,200
523,12,800
524,3,200
525,9,400
526,4,200
527,24,1200
528,6,200
529,7,400
530,10,200
531,11,800
532,6,200
533,9,400
534,3,200
535,19,1200
536,2,200
537,8,400
538,2,200
539,6,800
540,2,200
541,3,400
542,4,200
543,24,1200
544,4,200
545,5,400
546,2,200
547,13,800
548,6,200
549,8,400
550,1,200
551,22,1200
552,3,200
553,7,400
554,2,200
555,18,800
556,3,200
557,4,400
558,6,200
559,24,1200
560,4,200
561,2,400
562,1,200
563,18,800
564,0,200
565,4,400
566,3,200
567,22,1200
568,2,200
569,5,400
570,2,200
571,16,800
572,2,200
573,12,400
574,4,200
575,27,1200
576,2,200
577,9,400
578,7,200
579,11,800
580,4,200
581,5,400
582,1,200
583,27,1200
584,2,200
585,7,400
586,3,200
587,13,800
588,6,200
589,8,400
590,2,200
591,18,1200
592,4,200
593,6,400
594,1,200
595,17,800
596,2,200
597,7,400
598,2,200
599,17,1200
600,0,200
601,7,400
602,1,200
603,11,800
604,4,200
605,7,400
606,7,200
607,18,1200
608,3,200
609,7,400
610,2,200
611,14,800
612,6,200
613,11,400
614,2,200
615,23,1200
616,2,200
617,8,400
618,2,200
619,18,800
620,4,200
621,7,400
622,4,200
623,27,1200
624,6,200
625,8,400
626,2,200
627,11,800
628,5,200
629,6,400
630,5,200
631,19,1200
632,2,200
633,9,400
634,3,200
635,16,800
636,7,200
637,5,400
638,6,200
639,20,1200
640,3,200
641,9,400
642,1,200
643,11,800
644,5,200
645,10,400
646,4,200
647,24,1200
648,4,200
649,3,400
650,4,200
651,10,800
652,5,200
653,4,400
654,5,200
655,23,1200
656,7,200
657,7,400
658,3,200
659,19,800
660,1,200
661,9,400
662,3,200
663,13,1200
664,1,200
665,7,400
666,2,200
667,12,800
668,4,200
669,6,400
670,2,200
671,16,1200
672,2,200
673,7,400
674,1,200
675,14,800
676,7,200
677,9,400
678,4,200
679,20,1200
680,2,200
681,6,400
682,3,200
683,10,800
684,3,200
685,11,400
686,4,200
687,16,1200
688,4,200
689,3,400
690,3,200
691,11,800
692,4,200
693,3,400
694,3,200
695,24,1200
696,3,200
697,12,400
698,3,200
699,14,800
700,2,200
701,7,400
702,5,200
703,20,1200
704,5,200
705,10,400
706,6,200
707,13,800
708,4,200
709,7,400
710,3,200
711,25,1200
712,4,200
713,5,400
714,3,200
715,12,800
716,7,200
717,4,400
718,3,200
719,18,1200
720,0,200
721,2,400
722,2,200
723,13,800
724,2,200
725,7,400
726,8,200
727,18,1200
728,2,200
729,4,400
730,3,200
731,10,800
732,7,200
733,5,400
734,3,200
735,26,1200
736,7,200
737,8,400
738,4,200
739,11,800
740,1,200
741,10,400
742,4,200
743,20,1200
744,4,200
745,9,400
746,1,200
747,9,800
748,2,200
749,11,400
750,6,200
751,22,1200
752,6,200
753,9,400
754,3,200
755,11,800
756,2,200
757,5,400
758,2,200
759,22,1200
760,3,200
761,9,400
762,9,200
763,15,800
764,1,200
765,8,400
766,3,200
767,22,1200
768,4,200
769,9,400
770,4,200
771,7,800
772,2,200
773,6,400
774,2,200
775,19,1200
776,6,200
777,6,400
778,3,200
779,23,800
780,4,200
781,9,400
782,2,200
783,19,1200
784,7,200
785,5,400
786,1,200
787,17,800
788,0,200
789,5,400
790,4,200
791,14,1200
792,3,200
793,8,400
794,5,200
795,13,800
796,4,200
797,5,400
798,4,200
799,15,1200
800,2,200
801,8,400
802,3,200
803,18,800
804,1,200
805,7,400
806,2,200
807,22,1200
808,7,200
809,10,400
810,3,200
811,15,800
812,3,200
813,10,400
814,3,200
815,18,1200
816,4,200
817,7,400
818,0,200
819,10,800
820,2,200
821,5,400
822,2,200
823,22,1200
824,4,200
825,8,400
826,4,200
827,10,800
828,2,200
829,7,400
830,2,200
831,20,1200
832,1,200
833,9,400
834,0,200
835,14,800
836,3,200
837,6,400
838,1,200
839,17,1200
840,6,200
841,9,400
842,2,200
843,3,800
844,4,200
845,4,400
846,2,200
847,30,1200
848,4,200
849,6,400
850,4,200
851,18,800
852,1,200
853,8,400
854,2,200
855,25,1200
856,1,200
857,3,400
858,2,200
859,12,800
860,7,200
861,4,400
862,3,200
863,22,1200
864,5,200
865,9,400
866,3,200
867,15,800
868,1,200
869,10,400
870,1,200
871,25,1200
872,7,200
873,2,400
874,1,200
875,18,800
876,3,200
877,7,400
878,1,200
879,15,1200
880,3,200
881,5,400
882,4,200
883,12,800
884,4,200
885,8,400
886,4,200
887,24,1200
888,5,200
889,9,400
890,4,200
891,13,800
892,2,200
893,7,400
894,1,200
895,27,1200
896,4,200
897,4,400
898,3,200
899,11,800
900,4,200
901,6,400
902,1,200
903,17,1200
904,6,200
905,4,400
906,2,200
907,13,800
908,6,200
909,8,400
910,2,200
911,15,1200
912,4,200
913,5,400
914,5,200
915,9,800
916,1,200
917,4,400
918,4,200
919,20,1200
920,4,200
921,6,400
922,6,200
923,7,800
924,5,200
925,4,400
926,3,200
927,24,1200
928,5,200
929,8,400
930,4,200
931,18,800
932,5,200
933,9,400
934,5,200
935,24,1200
936,2,200
937,7,400
938,1,200
939,13,800
940,3,200
941,5,400
942,0,200
943,19,1200
944,3,200
945,5,400
946,5,200
947,20,800
948,3,200
949,6,400
950,4,200
951,17,1200
952,4,200
953,7,400
954,3,200
955,4,800
956,4,200
957,8,400
958,3,200
959,19,1200
960,0,200
961,5,400
962,6,200
963,8,800
964,2,200
965,3,400
966,5,200
967,16,1200
968,4,200
969,3,400
970,2,200
971,9,800
972,3,200
973,7,400
974,3,200
975,11,1200
976,2,200
977,11,400
978,8,200
979,12,800
980,1,200
981,8,400
982,2,200
983,17,1200
984,3,200
985,5,400
986,5,200
987,11,800
988,6,200
989,9,400
990,5,200
991,22,1200
992,10,200
993,5,400
994,5,200
995,15,800
996,2,200
997,9,400
998,2,200
999,16,1200
1000,4,200
1001,7,400
1002,2,200
1003,8,800
1004,1,200
1005,6,400
1006,3,200
1007,25,1200
1008,3,200
1009,7,400
1010,4,200
1011,15,800
1012,3,200
1013,7,400
1014,5,200
1015,16,1200
1016,3,200
1017,10,400
1018,3,200
1019,18,800
1020,2,200
1021,7,400
1022,4,200
1023,17,1200
1024,7,200
1025,6,400
1026,4,200
1027,13,800
1028,4,200
1029,10,400
1030,2,200
1031,25,1200
1032,6,200
1033,3,400
1034,2,200
1035,9,800
1036,6,200
1037,5,400
1038,3,200
1039,16,1200
1040,5,200
1041,6,400
1042,2,200
1043,14,800
1044,5,200
1045,9,400
1046,4,200
1047,16,1200
1048,1,200
1049,6,400
1050,1,200
1051,14,800
1052,4,200
1053,7,400
1054,4,200
1055,16,1200
1056,2,200
1057,5,400
1058,6,200
1059,12,800
1060,3,200
1061,4,400
1062,2,200
1063,16,1200
1064,2,200
1065,5,400
1066,2,200
1067,17,800
1068,2,200
1069,4,400
1070,6,200
1071,18,1200
1072,4,200
1073,9,400
1074,3,200
1075,17,800
1076,3,200
1077,3,400
1078,3,200
1079,35,1200
1080,5,200
1081,9,400
1082,4,200
1083,12,800
1084,3,200
1085,6,400
1086,3,200
1087,25,1200
1088,2,200
1089,12,400
1090,5,200
1091,9,800
1092,7,200
1093,5,400
1094,2,200
1095,11,1200
1096,8,200
1097,4,400
1098,6,200
1099,13,800
1100,3,200
1101,5,400
1102,7,200
1103,17,1200
1104,4,200
1105,2,400
1106,2,200
1107,15,800
1108,3,200
1109,11,400
1110,3,200
1111,16,1200
1112,4,200
1113,6,400
1114,0,200
1115,10,800
1116,0,200
1117,8,400
1118,4,200
1119,20,1200
1120,4,200
1121,2,400
1122,2,200
1123,13,800
1124,2,200
1125,7,400
1126,6,200
1127,16,1200
1128,3,200
1129,6,400
1130,5,200
1131,14,800
1132,6,200
1133,8,400
1134,3,200
1135,16,1200
1136,3,200
1137,4,400
1138,4,200
1139,14,800
1140,4,200
1141,5,400
1142,3,200
1143,18,1200
1144,3,200
1145,9,400
1146,4,200
1147,15,800
1148,8,200
1149,9,400
1150,8,200
1151,23,1200
1152,7,200
1153,5,400
1154,5,200
1155,15,800
1156,3,200
1157,9,400
1158,4,200
1159,23,1200
1160,2,200
1161,5,400
1162,1,200
1163,7,800
1164,1,200
1165,10,400
1166,5,200
1167,19,1200
1168,4,200
1169,7,400
1170,3,200
1171,8,800
1172,3,200
1173,4,400
1174,5,200
1175,19,1200
1176,2,200
1177,4,400
1178,2,200
1179,7,800
1180,4,200
1181,8,400
1182,5,200
